Product_Name,Specifications,Price,Rating,No_of_Ratings,No_of_Reviews,Maximum_Power,Engine_Capacity,Brake_Front,Tire_Type,Console_Feature,Range,Maximum_Speed,Charging_Time,Brand,Bike_Type
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Still Whi...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,761",4,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
Hero Splendor+ XTEC Booking for Ex-Showroom Price,"Maximum Power: 5.9 kW @ 8000 rpmEngine Capacity: 97.2 ccBrake Front: DrumTire Type: TubelessConsole Feature: Fully Digital SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹80,983",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,5.9 kW @ 8000 rpm,97.2 cc,Drum,Tubeless,"Fully Digital SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Ather Rizta S 123 KM with Pro Booking for Ex-Showroom Price (with Portable Charger, Deccan Grey Mono)","Range: 123 kmMaximum Speed: 80 kmphCharging Time: 7.45 HrsTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,35,995",5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,123 km,80 kmph,7.45 Hrs,Ather,Motorcycle
"Amo Electric Bikes AMO Double Light Jaunty L LA Booking for Ex-Showroom Price (with Portable Charger, ...",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹49,999",4,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews",,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"VIDA VX2 Plus Booking for Ex-Showroom Price (with Portable Charger, Matt Inspired White)","Range: 142 kmMaximum Speed: 80 kmphCharging Time: 4.13 HrTire Type: TubelessIt comes with an overall warranty of 5 years or 50,000 KMs, whichever is earlier. The battery pack comes with a warranty of 3 years or 30,000 KMs, whichever is earlier.","₹1,35,990",4.4,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",,,,"TubelessIt comes with an overall warranty of 5 years or 50,000 KMs, whichever is earlier. The battery pack comes with a warranty of 3 years or 30,000 KMs, whichever is earlier.",,142 km,80 kmph,4.13 Hr,VIDA,Motorcycle
"TVS iQube 3.1 kWh Booking for Ex-Showroom Price (With Charger, Starlight Blue, Beige)",Range: 121 kmMaximum Speed: 121 kmphCharging Time: 270 minTire Type: Tubeless3 year/30000 km,"₹1,26,169",5,60 Ratings & 5 Reviews,60 Ratings & 5 Reviews,,,,Tubeless3 year/30000 km,,121 km,121 kmph,270 min,TVS,Motorcycle
Hero HF Deluxe Non i3S-Self Booking for Ex-Showroom Price,"Maximum Power: 7.91Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubedConsole Feature: SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹64,923",3,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,7.91,97.2 cc,Drum,Tubed,"SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Chetak C3502 Electric Scooter by Bajaj Auto Booking for Ex-Showroom Price (with Portable Charger, Indi...","Range: 153 kmMaximum Speed: 80 KmphCharging Time: 5 hrTire Type: TubelessChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. The auxillary battery has a warranty of 18 months and tyres have a warranty of 12 months. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.","₹1,39,939",5,"2,269 Ratings & 225 Reviews","2,269 Ratings & 225 Reviews",,,,"TubelessChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. The auxillary battery has a warranty of 18 months and tyres have a warranty of 12 months. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.",,153 km,80 Kmph,5 hr,Bajaj,Electric
"TVS iQube 3.1 kWh Booking for Ex-Showroom Price (With Charger, Titanium Grey)",Range: 121 kmMaximum Speed: 121 kmphCharging Time: 270 minTire Type: Tubeless3 year/30000 km,"₹1,36,130",5,741 Ratings & 91 Reviews,741 Ratings & 91 Reviews,,,,Tubeless3 year/30000 km,,121 km,121 kmph,270 min,TVS,Motorcycle
"Ather 450 S 122 KM IDC range Booking for Ex-Showroom Price (with Portable Charger, Space Grey)",Range: 122 kmMaximum Speed: 90 kmphCharging Time: 7.45 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,37,311",5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,122 km,90 kmph,7.45 Hr,Ather,Motorcycle
Hero New Passion+ Booking for Ex-Showroom Price,"Maximum Power: 5.9 kW @ 8000 rpmEngine Capacity: 97.2 ccBrake Front: DrumTire Type: TubelessConsole Feature: Digital Analog Meter with RTMI and Low Fuel IndicatorHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹81,235",4.6,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,5.9 kW @ 8000 rpm,97.2 cc,Drum,Tubeless,"Digital Analog Meter with RTMI and Low Fuel IndicatorHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
