Product_Name,Specifications,Price,Rating,No_of_Ratings,No_of_Reviews,Maximum_Power,Engine_Capacity,Brake_Front,Tire_Type,Console_Feature,Range,Maximum_Speed,Charging_Time,Brand,Bike_Type
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Pangong...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,82,550",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, Blue)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.6,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, White)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Single Light LA Booking for Ex-Showroom Price (with Portable Charger, Orange)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless1 Year Warranty,"₹48,500",4.6,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,Tubeless1 Year Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,657",4.4,"2,269 Ratings & 225 Reviews","2,269 Ratings & 225 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
TVS XL100 Booking for Ex-Showroom Price,"Engine Capacity: 99.7 ccBrake Front: DrumTire Type: TubelessConsole Feature: AnalogDuring 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹60,460",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,99.7 cc,Drum,Tubeless,Analog,,,,TVS,Motorcycle
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, Black)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, Green)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews",,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Feisty E1 LI Booking for Ex-Showroom Price (with Portable Charger, Red)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹79,097",5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,"Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Still Whi...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,761",4,476 Ratings & 61 Reviews,476 Ratings & 61 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Amo Electric Bikes Brisk LA Booking for Ex-Showroom Price (with Portable Charger, Green)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹59,000",4.4,476 Ratings & 61 Reviews,476 Ratings & 61 Reviews,,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Amo Electric Bikes Feisty CS LI Booking for Ex-Showroom Price (with Portable Charger, Grey)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Feisty E1 LI Booking for Ex-Showroom Price (with Portable Charger, Green)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",3,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Brisk LA Booking for Ex-Showroom Price (with Portable Charger, Grey)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹59,000",4.5,476 Ratings & 61 Reviews,476 Ratings & 61 Reviews,,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Chetak C3503 Electric Scooter by Bajaj Auto Booking for Ex-Showroom Price (with Portable Charger, Matt...","Range: 151 kmMaximum Speed: 70 kmphCharging Time: 5 hrTire Type: TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.","₹1,24,157",5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,"TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.",,151 km,70 kmph,5 hr,Bajaj,Electric
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Deccan ...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,84,044",5,"2,269 Ratings & 225 Reviews","2,269 Ratings & 225 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
"Amo Electric Bikes Feisty CS LA Booking for Ex-Showroom Price (with Portable Charger, Black)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹55,000",4.5,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews",,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, Red)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Portable Charger, Te...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.","₹1,84,545",5,"2,515 Ratings & 302 Reviews","2,515 Ratings & 302 Reviews",,,,"TubelessThe vehicle and battery comes with a standard warranty of 3 years or 30,000 KMs, whichever is earlier.",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
Hero HF Deluxe Non i3S-Self Booking for Ex-Showroom Price,"Maximum Power: 7.91Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubedConsole Feature: SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹64,923",4.6,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",7.91,97.2 cc,Drum,Tubed,"SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Amo Electric Bikes Feisty E1 LI Booking for Ex-Showroom Price (with Portable Charger, Grey)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",3,"1,353 Ratings & 141 Reviews","1,353 Ratings & 141 Reviews",,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Feisty CS LA Booking for Ex-Showroom Price (with Portable Charger, Red)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹55,000",4,741 Ratings & 91 Reviews,741 Ratings & 91 Reviews,,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Amo Electric Bikes Feisty CS LI Booking for Ex-Showroom Price (with Portable Charger, Grey)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,741 Ratings & 91 Reviews,741 Ratings & 91 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Brisk LA Booking for Ex-Showroom Price (with Portable Charger, Grey)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹59,000",4.6,741 Ratings & 91 Reviews,741 Ratings & 91 Reviews,,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.5,858 Ratings & 100 Reviews,858 Ratings & 100 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,657",4.5,"6,142 Ratings & 628 Reviews","6,142 Ratings & 628 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
TVS XL100 Booking for Ex-Showroom Price,"Engine Capacity: 99.7 ccBrake Front: DrumTire Type: TubedConsole Feature: AnalogDuring 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.""","₹49,450",4.5,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",,99.7 cc,Drum,Tubed,Analog,,,,TVS,Motorcycle
TVS XL100 Booking for Ex-Showroom Price,"Engine Capacity: 99.7 ccBrake Front: DrumTire Type: TubedConsole Feature: AnalogDuring 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.""","₹60,499",4.6,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,99.7 cc,Drum,Tubed,Analog,,,,TVS,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹79,097",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,"Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Still Whi...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,761",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
TVS XL100 Booking for Ex-Showroom Price,"Engine Capacity: 99.7 ccBrake Front: DrumTire Type: TubedConsole Feature: AnalogDuring 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.""","₹56,860",4.4,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,99.7 cc,Drum,Tubed,Analog,,,,TVS,Motorcycle
"River Indie Booking for Ex-Showroom Price (With Charger, Storm Grey)","Range: 163 kmMaximum Speed: 90 km/hCharging Time: 5 HrTire Type: TubelessThe River Indie comes with a 3-year manufacturer warranty. For longer-term ownership, River also offers an optional extended warranty programme, with coverage of up to 8 years or 80,000 km on the battery and motor.","₹1,54,899",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessThe River Indie comes with a 3-year manufacturer warranty. For longer-term ownership, River also offers an optional extended warranty programme, with coverage of up to 8 years or 80,000 km on the battery and motor.",,163 km,90 km/h,5 Hr,Other,Motorcycle
"River Indie Booking for Ex-Showroom Price (With Charger, Summer Red)","Range: 163 kmMaximum Speed: 90 km/hCharging Time: 5 HrTire Type: TubelessThe River Indie comes with a 3-year manufacturer warranty. For longer-term ownership, River also offers an optional extended warranty programme, with coverage of up to 8 years or 80,000 km on the battery and motor.","₹1,54,899",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessThe River Indie comes with a 3-year manufacturer warranty. For longer-term ownership, River also offers an optional extended warranty programme, with coverage of up to 8 years or 80,000 km on the battery and motor.",,163 km,90 km/h,5 Hr,Other,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.4,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Chetak C3503 Electric Scooter by Bajaj Auto Booking for Ex-Showroom Price (with Portable Charger, Matt...","Range: 151 kmMaximum Speed: 70 kmphCharging Time: 5 hrTire Type: TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.","₹1,24,157",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessColoured LCD DisplayChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.",,151 km,70 kmph,5 hr,Bajaj,Electric
Hero HF Deluxe Non i3S-Self Booking for Ex-Showroom Price,"Maximum Power: 7.91Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubedConsole Feature: SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹64,923",4.4,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,7.91,97.2 cc,Drum,Tubed,"SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹78,550",4.5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,"Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
"Ather Rizta S 123 KM Booking for Ex-Showroom Price (with Portable Charger, Siachen White Mono)","Range: 123 kmMaximum Speed: 80 kmphCharging Time: 7.45 HrsTire Type: TubelessBattery: 3 Years/ 30000 Km, Vehicle: 3 Years/ 30000 Km","₹1,21,046",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessBattery: 3 Years/ 30000 Km, Vehicle: 3 Years/ 30000 Km",,123 km,80 kmph,7.45 Hrs,Ather,Motorcycle
Hero Splendor+ XTEC Booking for Ex-Showroom Price,"Maximum Power: 5.9 kW @ 8000 rpmEngine Capacity: 97.2 ccBrake Front: DrumTire Type: TubelessConsole Feature: Fully Digital SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹80,983",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",5.9 kW @ 8000 rpm,97.2 cc,Drum,Tubeless,"Fully Digital SpeedometerHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Chetak C3502 Electric Scooter by Bajaj Auto Booking for Ex-Showroom Price (with Portable Charger, Indi...","Range: 153 kmMaximum Speed: 80 KmphCharging Time: 5 hrTire Type: TubelessChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. The auxillary battery has a warranty of 18 months and tyres have a warranty of 12 months. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.","₹1,39,939",4.5,"2,269 Ratings & 225 Reviews","2,269 Ratings & 225 Reviews",,,,"TubelessChetak offers a warranty of 50000 km or 3 year (whichever comes earlier) on the product and the Lithium-ion battery. The auxillary battery has a warranty of 18 months and tyres have a warranty of 12 months. Warranty is effective from the date of the Chetak sales invoice and is in effect as long as periodic maintenance services are done at Chetak authorised service centres, as per recommended schedules.",,153 km,80 Kmph,5 hr,Bajaj,Electric
TVS Sport (ES+) Booking for Ex-Showroom Price,"Maximum Power: 8.18 bhp @ 7,350 rpmEngine Capacity: 109.7 ccBrake Front: DrumTire Type: TubedConsole Feature: AnalogueWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹62,850",4.5,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews","8.18 bhp @ 7,350 rpm",109.7 cc,Drum,Tubed,"AnalogueWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
TVS Sport (ES) Booking for Ex-Showroom Price,"Maximum Power: 8.18 bhp @ 7,350 rpmEngine Capacity: 109.7 ccBrake Front: DrumTire Type: TubedConsole Feature: AnalogueDuring 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfaction of the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹62,247",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews","8.18 bhp @ 7,350 rpm",109.7 cc,Drum,Tubed,Analogue,,,,TVS,Motorcycle
TVS Sport ELS Booking for Ex-Showroom Price,"Maximum Power: 8.18 bhp @ 7,350 rpmEngine Capacity: 109.7 ccBrake Front: DrumTire Type: TubedConsole Feature: AnalogueDuring 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfaction of the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹73,258",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews","8.18 bhp @ 7,350 rpm",109.7 cc,Drum,Tubed,Analogue,,,,TVS,Motorcycle
TVS Radeon (Digi Edition) Booking for Ex-Showroom Price,"Maximum Power: 8.18 bhp (at 7350 RPM)Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessConsole Feature: Speedometer: Digital Odometer: DigitalDuring 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfaction of the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹80,769",5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",8.18 bhp (at 7350 RPM),109.7 cc,Drum,Tubeless,Speedometer: Digital Odometer: Digital,,,,TVS,Motorcycle
Hero New Passion+ Booking for Ex-Showroom Price,"Maximum Power: 5.9 kW @ 8000 rpmEngine Capacity: 97.2 ccBrake Front: DrumTire Type: TubelessConsole Feature: Digital Analog Meter with RTMI and Low Fuel IndicatorHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹81,235",4,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",5.9 kW @ 8000 rpm,97.2 cc,Drum,Tubeless,"Digital Analog Meter with RTMI and Low Fuel IndicatorHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
Hero Splendor+ XTEC 2.0 Booking for Ex-Showroom Price,"Maximum Power: 5.9 KW (at 8000 rpm)Engine Capacity: 97.2 ccBrake Front: DrumTire Type: TubelessConsole Feature: Full Digital Meter with Bluetooth, RTMI, Eco Indicator and Host of FeaturesHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.","₹83,311",4.4,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",5.9 KW (at 8000 rpm),97.2 cc,Drum,Tubeless,"Full Digital Meter with Bluetooth, RTMI, Eco Indicator and Host of FeaturesHero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase.",,,,Hero,Motorcycle
"Ather Rizta Z 123KM IDC Range with Stack Pro Booking for Ex-Showroom Price (with Portable Charger, Dec...","Range: 123 kmMaximum Speed: 80 kmphCharging Time: 7.45 HrsTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,60,839",5,"12,660 Ratings & 1,293 Reviews","12,660 Ratings & 1,293 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,123 km,80 kmph,7.45 Hrs,Ather,Motorcycle
"Ather Rizta Z 123KM IDC Range with Stack Pro Booking for Ex-Showroom Price (with Portable Charger, Sia...","Range: 123 kmMaximum Speed: 80 kmphCharging Time: 7.45 HrsTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,60,340",3,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,123 km,80 kmph,7.45 Hrs,Ather,Motorcycle
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.4,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,657",4,"6,142 Ratings & 628 Reviews","6,142 Ratings & 628 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
